Id,Song,Artist
6QPKYGnAW9QozVz2dSWqRg,Someone Like You,Adele
42WPVWtxYdFE9fb8Vp24FR,Running Up That Hill,Placebo
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac
7fRvtXvJMpGfTLdF0M09a1,Talking In Your Sleep,The Romantics
3TWfEEzcdrkR0CSvWqyUlX,Kill This Love,BLACKPINK
0aOluBqXYd0rFSCsgDyAWX,Take Me to Church,Hozier
3mcG2NI5G5vhrQtRda1YnA,The Middle,Jimmy Eat World
3NRql0A1Ef4RCvT473iqgD,Hell N Back,Bakar
4g3Ax56IslQkI6XVfYKVc5,The Less I Know The Better,Tame Impala
3Ga6eKrUFf12ouh9Yw3v2D,Downtown,Anitta
3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat
4EivmOT13NMpNSfTKn9p4s,Like That (feat. Gucci Mane),Doja Cat
3gA2OJK56lx5z7riHwq3HL,Crazy,4Minute
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,*NSYNC
72C7aUQECOhNtnD0AC36ua,They Don't Know About Us,One Direction
