Id,Song,Artist
5HmDTAedbpgzSkyU7CuVzE,En La Ciudad De La Furia - Remasterizado 2007,Soda Stereo
3oqWr0jDWNXxWufNogGREp,Crimen,Gustavo Cerati
5BHfKRD3LTxFz1tX8AH0DN,Black Hole Sun,Soundgarden
6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,U2
3G69vJMWsX6ZohTykad2AU,One,U2
3XRZYgmphJbmMEclYCx7Wx,Luna Roja,Soda Stereo
2LxyITcslKIKdMyYdHdA5l,Trátame Suavemente - Remasterizado 2007,Soda Stereo
22RKxY3GXYzNiJu36nFueQ,Hombre Al Agua - Remasterizado 2007,Soda Stereo
4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,Don Henley
4ECNtOnqzxutZkXP4TE3n3,Separate Ways (Worlds Apart),Journey
3R47BVunpwXhQbLWrClD94,Lights,Journey
