track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre_clean
4ECNtOnqzxutZkXP4TE3n3,Separate Ways (Worlds Apart),Journey,67,2EFUNYmwxe0AOGxBORrfaw,Frontiers,1983-02-01,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.451,0.962,0,-3.947,1,0.0734,0.0188,3.17e-06,0.277,0.377,131.435,323707,3
6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,U2,79,5y6wlw1LnqFnQFruMeiwGU,The Joshua Tree (Super Deluxe),1987-03-03,Mix ElectroPop//ElectroHouse// DeepHouse 2020,23swqzpOZwW1NhPiZ7iyFI,pop,electropop,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,295516,3
3XRZYgmphJbmMEclYCx7Wx,Luna Roja,Soda Stereo,0,3bG1GHeybqiNtO96c85rS7,El Ultimo Concierto B,1997-12-16,Soda Stereo – El Ultimo Concierto,3opIxv3Y5GmXDNpbLFZxIm,rock,album rock,0.348,0.661,4,-8.402,1,0.0286,0.00496,0.194,0.718,0.142,92.95,336240,6
5HmDTAedbpgzSkyU7CuVzE,En La Ciudad De La Furia - Remasterizado 2007,Soda Stereo,46,3QTxxZucih0hympCczXXuO,El Ultimo Concierto A,1997-10-09,Soda Stereo – El Ultimo Concierto,3opIxv3Y5GmXDNpbLFZxIm,rock,album rock,0.496,0.909,11,-6.165,0,0.0461,0.0032,0.0746,0.988,0.54,122.075,397827,6
22RKxY3GXYzNiJu36nFueQ,Hombre Al Agua - Remasterizado 2007,Soda Stereo,41,3QTxxZucih0hympCczXXuO,El Ultimo Concierto A,1997-10-09,Soda Stereo – El Ultimo Concierto,3opIxv3Y5GmXDNpbLFZxIm,rock,album rock,0.488,0.667,4,-7.051,0,0.0285,0.0134,0.095,0.918,0.331,96.986,389427,6
2LxyITcslKIKdMyYdHdA5l,Trátame Suavemente - Remasterizado 2007,Soda Stereo,54,3QTxxZucih0hympCczXXuO,El Ultimo Concierto A,1997-10-09,Soda Stereo – El Ultimo Concierto,3opIxv3Y5GmXDNpbLFZxIm,rock,album rock,0.47,0.576,7,-8.687,1,0.0289,0.181,0.299,0.744,0.0878,104.523,244200,6
4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,Don Henley,76,2x1s5aVQ01ylPs5nUdeA2i,Building The Perfect Beast,1984-01-01,The Sound of Album Rock,3yj9YnQGTdnFuKbDyXGDi6,rock,album rock,0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,288733,6
3G69vJMWsX6ZohTykad2AU,One,U2,77,0ta5VdkJcpdVnNrn7g4cZe,Achtung Baby (Deluxe Edition),1991-11-18,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic rock,0.392,0.534,0,-8.793,1,0.0369,0.245,0.00104,0.155,0.325,181.305,276187,6
3R47BVunpwXhQbLWrClD94,Lights,Journey,46,5pfpXvoJtSIFrbPIoBEv3R,The Essential Journey,2001-09-19,Supernatural Classic Rock,6oghIlByD49KFGNmNU8GSH,rock,classic rock,0.188,0.61,7,-7.665,1,0.0453,0.0985,0.00141,0.278,0.411,205.586,190667,6
5BHfKRD3LTxFz1tX8AH0DN,Black Hole Sun,Soundgarden,46,3dCw2ZuqxrownGc7jHu034,Telephantasm,2010-09-28,Workday: Rock Classics,37i9dQZF1DX1lwxXvReaux,rock,classic rock,0.338,0.735,6,-6.886,1,0.0354,8.06e-05,3e-05,0.0732,0.153,105.192,317693,6
3oqWr0jDWNXxWufNogGREp,Crimen,Gustavo Cerati,70,7KHNK7l8peO0t95I1v7BmP,Ahí Vamos,2006-04-04,②⓪①⑨ mixed,2bOjjgN1S3Gqd8vSMyafvJ,rock,permanent wave,0.537,0.502,4,-8.406,1,0.025,0.44,0.0709,0.199,0.288,80.511,232027,6
