track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre_clean
6lx5aHjUesS2XEyLxXknLQ,Heaven,Ebo Taylor,42,5vf9w7uDuKx6FbaC82TlYg,Life Stories,1977,Afro Psychedelica,37i9dQZF1DWVyizF9BJ61m,rock,classic rock,0.655,0.771,9,-7.321,0,0.0517,0.124,0.509,0.0811,0.398,99.567,365693,6
3Q9QGamJUf6y6DU0MJ8jBd,Who Ride Wit Us,Kurupt,49,7kQHV1Onzl869swTQVHVqQ,Tha Streetz Iz A Mutha (Digitally Remastered),2012-10-24,Gangsta Rap/90's Hip-Hop,62spXXfUxBed8nbd5xvH2O,rap,gangster rap,0.829,0.821,9,-6.184,1,0.367,0.141,0.0,0.585,0.602,104.966,261173,2
6xpEVwTvW5KNqPQ7yFpq12,Ascension (Don't Ever Wonder),Maxwell,0,0fTPu6F8PON57mCR5bC4gs,For Lover's Only: The Best Of,2007-12-19,Neo-Soul Essentials,0DIwi1dMI59NItQtiNcevy,r&b,neo soul,0.757,0.466,0,-10.709,1,0.0322,0.0766,0.0488,0.115,0.749,96.044,346280,4
0M3adYbGtyRHACP86dey1H,Throne,Bring Me The Horizon,68,7FqHuAvmREiIwVXVpZ9ooP,That's The Spirit,2015-09-11,Workout Hard Rock,4TG1lzMD9HFvZ9E1Bk6Gnu,rock,hard rock,0.426,0.888,0,-3.72,0,0.0987,0.000455,0.0,0.306,0.387,144.111,191520,6
6XE0F3KRAm0Ld17pyE9UDP,Magazine,Hajk,25,45nf8yPkc7XZsqyCeMsI0M,Hajk,2017-04-28,Electropop And Play,7p30DzTAgW6OhspSXHTI88,pop,electropop,0.545,0.457,2,-10.923,1,0.135,0.488,0.0618,0.347,0.774,170.017,237213,3
362ychdHc0vMXhUE50PuoN,"I'm Bout It, Bout It",TRU,35,2kliZmxyQfhisDX1B7WVT5,True,1995-01-01,3rd Coast Classics,1QJ66s6YBZgxMUaVUyrhbo,rap,southern hip hop,0.416,0.664,9,-6.687,0,0.317,0.0153,0.0,0.169,0.504,75.528,332400,2
72nU2PZrtf8glvjOiSPjYS,Morio,Smoke Trees,49,14CiVUTLsn7p8c0rv0jnDR,Irratio,2018-11-13,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.629,0.277,2,-14.958,0,0.0783,0.628,0.94,0.0851,0.0398,131.03,117868,2
6TJDIi4bBYRRvOx0b75XmE,DarknessFalls,BONES,37,20oQgr7H4q6wiLDYhRpKZ8,SparrowsCreek,2019-02-11,Rap Party 24/7 Radio / Gangsta Rap,4sGnz2x5tbHE2YlW1nemfb,rap,gangster rap,0.638,0.534,2,-8.901,1,0.111,0.0398,0.0,0.132,0.131,179.953,97917,2
6xtcFXSo8H9BZN637BMVKS,Let You Love Me,Rita Ora,72,4INRJMYMJrSPsf5mbW26Fm,Let You Love Me,2018-09-21,Electropop 2019,4Bi8VLtaSu0JILliif8lH6,pop,electropop,0.531,0.854,10,-3.149,1,0.198,0.288,0.0,0.0773,0.456,94.419,190000,3
4Q6wWm1GyMweUtoz6PNvrr,Everything Looks Beautiful,Lucie Silvas,23,1VVaCcDi6CDJ86XpyGVUQ0,E.G.O.,2018-08-24,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.393,0.44,6,-6.225,1,0.0489,0.0778,2.25e-06,0.0817,0.311,140.188,299067,4
1Q5kgpp4pmyGqPwNBzkSrw,Roadhouse Blues,The Doors,72,6AFLOkpJjFF652jevcSOZX,Morrison Hotel,1970-02-09,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic rock,0.612,0.634,9,-8.212,1,0.0319,0.337,4.6e-05,0.147,0.904,121.059,243827,6
1VKPiQJnV15flF5B3zeocD,You Dropped A Bomb On Me,The Gap Band,56,3pJ0uie1bu662cOCCu5cfG,The Gap Band IV,1982-01-01,The 1950s/1960s/1970s/1980s/1990s/2000s/2010s with pop/r&b/soul/boogie/dance/jazz/hip hop/hop/rap.,1S7BckuYIkEazeNKOSM0uA,r&b,urban contemporary,0.786,0.627,9,-11.177,1,0.0339,0.00737,0.00186,0.181,0.831,126.461,312907,4
2vgQwfsIeahfaFrwBUtm67,Know What I'm Sayin'?,Latin Alliance,4,7tCSjxZTpzVrV1QDX61udf,Latin Alliance,1991-08-06,Chicano Rap,3o3xRXWMtBMezk0E3wmtGI,latin,latin hip hop,0.848,0.672,1,-14.096,1,0.194,0.126,4e-05,0.287,0.852,102.276,261627,5
1AAbYwMYq0JE37F06XUeXA,Whatever,Jill Scott,43,21JbNB7qmJoOr03sM9dMeR,Beautifully Human: Words and Sounds Vol. 2,2004-08-31,Neo-Soul / Soulful R&B,4F3xAxHxeBwXhK6k6GPnrW,r&b,neo soul,0.669,0.557,10,-8.451,0,0.274,0.128,0.000517,0.176,0.741,170.093,266693,4
0W9Xvd4Qx1aZPxEi94vgRY,Sound of Madness,Shinedown,66,4PeRcYNYVB1mD4wemj5zld,The Sound of Madness,2008-06-24,HARD ROCK CAFE,55ybnG2z8rpTIerRfnCsw6,rock,hard rock,0.328,0.939,2,-1.654,0,0.0423,4.93e-05,0.0065,0.337,0.329,185.971,233987,6
