track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre_clean
1kDYCn9VIDmOIbLZ2Xc7OO,Sweet Child O' Mine,Guns N' Roses,3,1oR3KrPIp4CbagPa3PhtPp,Appetite For Destruction (Explicit Version),1987-01-01,Classic Hard Rock,1gAeQGQ7hr2q7IYmaejDW6,rock,hard rock,0.45,0.904,6,-7.736,1,0.046,0.0872,0.108,0.0997,0.689,125.072,356400,6
4oDZ5L8izBals6jKBJDBcX,Your Love,The Outfield,71,2d5GU9ms5JCSS9GjsFebu8,Play Deep,1985-06-29,Classic Rock,5BygwTQ3OrbiwVsQhXFHMz,rock,classic rock,0.579,0.654,1,-12.421,0,0.0553,0.121,3.62e-06,0.0673,0.616,129.537,216467,6
2GV039LpIeFtgTKKIZPrf0,In the Air Tonight,Nonpoint,59,0wMl72AddFnnhtCVNyWx2G,Recoil (Explicit Content U.S. Version),2004-07-13,Workout Hard Rock,4TG1lzMD9HFvZ9E1Bk6Gnu,rock,hard rock,0.556,0.812,0,-4.193,1,0.0469,0.0171,0.143,0.143,0.181,99.935,273067,6
4I58RPHVzDldHfK3t5HiZA,Leave It All Behind,Cult To Follow,63,6QxvlbjYCpl0csZp4jb9Nc,Leave It All Behind - Single,2011-12-20,Hard Rock Workout!,5nQrMpkyWmxPX0gk74htMk,rock,hard rock,0.643,0.954,9,-3.255,1,0.108,0.00528,0.0,0.466,0.54,114.964,224087,6
0h5LK5DWEDQoTYemtRGMzA,ASPHALT LADY,Kiyotaka Sugiyama,22,1xKDV0iBKXXVLKxkMyK3JS,SINGLE'S HISTORY,1985-10-23,City Pop 1985 シティーポップ,3j2osvmecEao5nmo9jZ5df,rock,album rock,0.782,0.444,7,-14.699,0,0.0347,0.175,1.84e-05,0.0346,0.811,125.078,239067,6
4xh7W7tlNMIczFhupCPniY,Go Your Own Way - 2004 Remaster,Fleetwood Mac,73,0BwWUstDMUbgq2NYONRqlu,Rumours (Super Deluxe),1977-02-04,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448,223613,6
4RGxUjaCmVtD30pIhtEi7w,Sunshine Superman,Donovan,59,2ULhVPvdhT7RREnqRWM06G,Sunshine Superman,1966-09,70's Classic Rock,76lrxCrKrGDkDDf3SVPnl3,rock,classic rock,0.629,0.677,1,-7.239,1,0.0299,0.122,9.72e-06,0.0962,0.627,132.783,195000,6
1XT3v8CIGQ1pbbSOhv8sS4,Power To The People,John Lennon,44,7mXg4fLJHmmnjAahH15Wsj,Power To The People - The Hits,2010-10-04,The Black Album,0KNLLunbFh9XgitPMOGmQg,rock,album rock,0.613,0.704,2,-9.369,1,0.0601,0.00497,0.0,0.337,0.746,113.154,202560,6
6o5UNB9tYzUiTPwizwjDov,Hot Fun in the Summertime,Sly & The Family Stone,0,7saBgtVef7I2AyHzgPZPgw,Anthology,1973,70s Pop & Rock Hits and Deep Tracks,1uKFRCQYci8kVgMy3xzTVH,rock,album rock,0.609,0.647,0,-13.003,1,0.063,0.365,9.18e-06,0.083,0.692,145.249,156827,6
2DDiTcZiC9iuluUyHE2yXo,Creature,BONES UK,6,1YXsOdQoz3I113xaAoVBjW,Creature,2018-06-05,Nikki Sixx's Top Pixx,5d1arTPDEr76KMg9geDinZ,rock,album rock,0.573,0.833,9,-2.764,1,0.0787,0.00572,0.000349,0.0758,0.585,81.955,188000,6
03HA3VjUvxG7BiYX146J0a,Go Downtown,J.J. Cale,45,4ucx366gQtYYZLU2XRGDXz,Stay Around,2019-04-26,Classic Rock Now,37i9dQZF1DX0fWtUuB7bFE,rock,classic rock,0.589,0.404,0,-12.082,0,0.0379,0.857,0.416,0.12,0.663,152.457,212573,6
1Dr1fXbc2IxaK1Mu8P8Khz,When I Come Around,Green Day,75,4uG8q3GPuWHQlRbswMIRS6,Dookie,1994-02-01,keg party jukebox,4PjiT7SWnUsTTTvKOuR76f,rock,permanent wave,0.531,0.909,11,-4.236,1,0.034,0.0175,0.0,0.231,0.814,97.546,178000,6
36HzhD2hKH5bLYCFUiriO0,My Nemesis,Five Finger Death Punch,55,5cCjmw6pGLHHKZ6zuOhg1Y,Got Your Six (Deluxe),2015-09-04,Workout Hard Rock,4TG1lzMD9HFvZ9E1Bk6Gnu,rock,hard rock,0.437,0.97,1,-2.333,0,0.0771,2.87e-05,0.0,0.252,0.509,74.995,215872,6
3UygY7qW2cvG9Llkay6i1i,Going Under,Evanescence,69,02w1xMzzdF2OJxTeh1basm,Fallen,2003-01-01,Permanent Wave,2ExyzXAbukW7I8bDqdGvPB,rock,permanent wave,0.37,0.858,11,-4.885,0,0.0545,0.00815,2.12e-05,0.229,0.464,175.077,214947,6
6WDywA01HXByEC07ZEKt6T,二度目のイヴ,オメガトライブ,17,0rKp7KsPDhyl7saBEKGxE4,First Finale,1985-12-11,City Pop 1985 シティーポップ,3j2osvmecEao5nmo9jZ5df,rock,album rock,0.641,0.531,1,-6.758,0,0.0271,0.438,1.12e-05,0.0947,0.785,77.859,295200,6
